ring;chip_code;capture_year;status;cert;run_day_eclosion;brood_size;weight;tarsus;observer;cohort
424594;C_7A73CAA;2018;F;1;24;3;75;28.7;LM;2016
424596;C_7A709E0;2018;R;1;25;4;82;29.1;LM;2016
424637;C_7A7418E;2018;R;1;24;5;87;29.9;DG;2016
424696;C_7A74B9E;2018;F;0;47;4;78.7;30.3;RM;2016
424753;C_7A7102B;2018;F;1;52;5;70;29.4;DG;2016
424771;C_79522D8;2018;F;1;55;2;57.7;28.1;RM;2016
425081;C_7990ADE;2019;R;1;19;5;76.9;30.9;HB;2017
425143;C_795640E;2019;F;1;20;5;83.3;30.8;HB;2017
425161;C_7956180;2019;F;0;20;5;84.75;29.8;HB;2017
425165;C_7818DBD;2019;R;1;20;4;85.6;29.9;RM;2017
425171;C_7AF6DE4;2019;F;0;20;5;79.3;30.3;HB;2017
425194;C_7990E3E;2019;F;1;21;3;84.5;30.9;DG;2017
425207;C_7955FBC;2019;R;1;21;5;78.3;30.1;DG;2017
425249;C_6E461F6;2019;F;0;21;5;86;30.2;DG;2017
425264;C_7AF6C4D;2019;F;0;21;3;83;30.4;RM;2017
425290;C_7AF69BE;2019;R;1;21;4;82.5;31.3;RM;2017
425297;C_7AF70E3;2019;R;1;21;5;88.8;30.2;HB;2017
433013;C_7AF6D86;2019;F;1;22;4;86.98;30.3;RM;2017
433081;C_7AF6B30;2019;R;1;31;5;74.4;29.7;HB;2017
433082;C_7AF6FF1;2019;R;1;31;5;72.05;29.7;HB;2017
433091;C_7AF6EB4;2019;R;1;31;6;82.8;31.8;HB;2017
433120;C_7AF6A3E;2019;R;1;22;4;87;29.9;DG;2017
433160;C_79524AF;2019;R;1;21;4;81.3;30;HB;2017
433219;C_7AF6C8B;2019;R;1;22;4;89.7;30.5;HB;2017
433239;C_7AF6BBD;2019;F;0;22;5;78.9;30.5;HB;2017
433256;C_7AF6E5E;2019;R;1;22;4;86;30.6;HB;2017
433280;C_7AF6C7B;2019;F;1;23;5;72.2;30;HB;2017
433293;C_7AF69AD;2019;R;1;23;4;81.35;30;HB;2017
433345;C_7AF6E89;2019;F;1;32;2;80.3;30.1;DG;2017
433348;C_7AF6E7E;2019;R;1;33;4;77.3;29.1;HB;2017
433350;C_7AF6E21;2019;F;1;33;4;75.8;30.1;HB;2017
433369;C_7AF6E66;2019;R;1;32;4;77.2;30.2;DG;2017
433457;C_7AF6A38;2019;R;1;37;5;63.6;27.6;HB;2017
433547;C_7AF6975;2019;R;1;63;2;54.4;27;HB;2017
433625;C_7AF7547;2019;F;0;66;4;42.95;26.9;JM;2017
433689;C_7AF7084;2019;F;0;68;2;77.8;30.2;HB;2017
433718;C_7AF70A7;2019;F;1;69;2;62.14;28.24;JM;2017
441233;C_7BA2A78;2020;R;1;18;4;80;29.7;DG;2018
441261;C_7AF7284;2020;R;1;18;4;72;30.4;DG;2018
441279;C_7C12655;2020;R;1;19;5;74;30.9;DG;2018
441280;C_7BA2CFB;2020;R;1;19;5;82.6;30.6;DG;2018
441281;C_7BA29E0;2020;F;1;19;5;73;30.4;DG;2018
441327;C_7BA27AC;2020;R;1;19;5;76;29.8;DG;2018
441351;C_79522C4;2020;R;1;19;3;89.8;30.7;DG;2018
441360;C_7952306;2020;F;0;19;3;86.2;30.3;DG;2018
441372;C_7BA2B71;2020;F;0;19;4;72;30.6;DG;2018
441383;C_7BA27A0;2020;F;1;20;3;85;29.8;DG;2018
441485;C_7BA2C4C;2020;F;1;19;4;77.4;30.7;JM;2018
441487;C_795223F;2020;R;1;19;4;79.5;30.41;JM;2018
441500;C_7C124AD;2020;F;0;19;3;89.7;30.34;JM;2018
441533;C_7BA2A21;2020;F;1;19;3;83.2;30.46;JM;2018
441546;C_7952214;2020;F;1;19;4;79.9;30.08;JM;2018
441560;C_7952405;2020;R;1;19;5;81.5;29.7;JM;2018
441590;C_7BA2B62;2020;R;1;21;4;86.8;29.81;SD;2018
441594;C_7AF718E;2020;R;1;21;4;86.4;29.78;SD;2018
441696;C_7BA2C5E;2020;R;1;61;4;79.9;30.45;SD;2018
441746;C_7AF73C1;2020;F;1;62;4;66.3;28.6;RM;2018
441749;C_7BA26BF;2020;R;1;62;3;73.1;29;RM;2018
441752;C_7AF73A6;2020;R;1;63;4;80.2;29.6;RM;2018
441802;C_7BA2D0E;2020;R;1;18;4;74.6;30.02;LP;2018
441809;C_7BA2688;2020;F;1;18;4;83.8;31.15;LP;2018
441819;C_7BA26AB;2020;F;1;19;3;78.9;29.27;LP;2018
441821;C_795242D;2020;R;1;19;3;89.2;29.93;LP;2018
441841;C_7BA2795;2020;R;1;20;2;88.8;30.99;LP;2018
441866;C_795248C;2020;R;1;18;3;77;31.72;LP;2018
441902;C_7AF7517;2020;R;1;19;3;86.5;30.5;LP;2018
441923;C_7BA2802;2020;R;1;19;2;91.5;30.4;LP;2018
441948;C_7BA2CC6;2020;F;1;20;5;71.3;29;LP;2018
441955;C_7BA2B95;2020;F;1;20;3;60.7;30.48;LP;2018
441981;C_7BA272E;2020;R;1;21;2;85.9;30.09;SD;2018
441987;C_7AF7264;2020;R;1;23;2;72.4;30.03;JM;2018
442017;C_795241A;2020;R;1;62;3;72.8;30.22;JM;2018
442054;C_7AF738D;2020;F;1;64;4;84.7;31.18;SD;2018
442093;C_7BA278E;2020;R;1;66;3;73.7;29.3;RM;2018
442119;C_7952449;2020;F;1;20;3;80;29.7;DG;2018
442185;C_7952393;2020;R;1;43;4;81.9;30.81;SD;2018
442216;C_7AF71E7;2020;R;1;20;4;85.6;30.6;JM;2018
442217;C_7BA283B;2020;F;1;20;4;77.4;30.76;JM;2018
442242;C_7952239;2020;F;1;20;4;83.1;30.64;JM;2018
442245;C_7BA2691;2020;R;1;20;4;80.5;30.52;JM;2018
442258;C_7BA2B20;2020;F;1;31;5;72.8;28.08;LP;2018
442264;C_795252B;2020;F;1;33;4;77.6;30.7;SD;2018
442290;C_7AF752E;2020;F;1;33;3;90.6;32.11;JM;2018
