ring;chip_code;sex;capture_year;status;status_cat;cert;run_day_eclosion;brood_size;weight_n;tarsus_n;observer_n;weight_a;wing_a;tarsus_a;beak;feather_length;observer_a;observer_a2;time_capture;date_january;cohort
433013;C_7AF6D86;1;2019;F;0;1;22;4;86.98;30.3;RM;88.2;134;29.8;22.2;35.27;DG;DG;9;66;2017
433081;C_7AF6B30;1;2019;R;1;1;31;5;74.4;29.7;HB;89;134;29;23.1;36.22666667;DG;DG;9;76;2017
433082;C_7AF6FF1;1;2019;R;1;1;31;5;72.05;29.7;HB;88.5;136;29.86;22.54;36.90666667;SD;SD;10;71;2017
433091;C_7AF6EB4;1;2019;R;1;1;31;6;82.8;31.8;HB;94.2;138;31.8;23.8;31.29;DG;DG;9;60;2017
433120;C_7AF6A3E;1;2019;R;1;1;22;4;87;29.9;DG;85.3;136;29.3;23.18;32.45;SD;SD;12;59;2017
433160;C_79524AF;1;2019;R;1;1;21;4;81.3;30;HB;83;140;30.38;22.5;38.17;SD;SD;11;85;2017
433219;C_7AF6C8B;1;2019;R;1;1;22;4;89.7;30.5;HB;83.4;131;30.1;21.9;37.59;DG;DG;9;65;2017
433239;C_7AF6BBD;1;2019;F;0;0;22;5;78.9;30.5;HB;82.9;136;29.94;22.4;33.85333333;SD;SD;10;72;2017
433256;C_7AF6E5E;1;2019;R;1;1;22;4;86;30.6;HB;89.6;133;30.7;23.5;36.24;DG;DG;8;70;2017
433280;C_7AF6C7B;1;2019;F;0;1;23;5;72.2;30;HB;81.2;134;30.18;24.01;30.30333333;SD;SD;11;72;2017
433348;C_7AF6E7E;1;2019;R;1;1;33;4;77.3;29.1;HB;79.3;139;29.56;22.4;32.08;SD;SD;8;70;2017
433350;C_7AF6E21;1;2019;F;0;1;33;4;75.8;30.1;HB;91.7;137;30.27;23.69;34.66666667;LP;LP;9;72;2017
433369;C_7AF6E66;1;2019;R;1;1;32;4;77.2;30.2;DG;82.3;140;29.56;22.71;32.08333333;SD;SD;8;65;2017
433457;C_7AF6A38;1;2019;R;1;1;37;5;63.6;27.6;HB;82.2;134;28.08;21.65;35.19333333;SD;SD;11;68;2017
433547;C_7AF6975;1;2019;R;1;1;63;2;54.4;27;HB;76.8;132;27.9;21.8;35.53333333;DG;DG;11;71;2017
433625;C_7AF7547;1;2019;F;0;0;66;4;42.95;26.9;JM;75.9;136;27.01;24.42;35.62666667;SD;SD;9;60;2017
433689;C_7AF7084;1;2019;F;0;0;68;2;77.8;30.2;HB;83.2;136;30.24;22.71;30.49333333;SD;SD;10;63;2017
433718;C_7AF70A7;1;2019;F;0;1;69;2;62.14;28.24;JM;89;134;28.86;23.55;42.32;SD;SD;7;67;2017
441233;C_7BA2A78;1;2020;R;1;1;18;4;80;29.7;DG;91.9;142;30.12;22.33;40.94333333;RM;RM;10;78;2018
441261;C_7AF7284;1;2020;R;1;1;18;4;72;30.4;DG;84.6;133;30.5;22.1;38.83333333;DG;DG;8;48;2018
441279;C_7C12655;1;2020;R;1;1;19;5;74;30.9;DG;84.7;135;30.66;23.04;35.05;DG;DG;9;116;2018
441280;C_7BA2CFB;1;2020;R;1;1;19;5;82.6;30.6;DG;87.5;135;30.98;23.26;32.80666667;LP;LP;9;79;2018
441281;C_7BA29E0;1;2020;F;0;1;19;5;73;30.4;DG;87.4;132;30.55;23.9;33.77;DG;DG;12;106;2018
441327;C_7BA27AC;1;2020;R;1;1;19;5;76;29.8;DG;83.9;133;30.49;22.02;34.52333333;DG;DG;8;114;2018
441351;C_79522C4;1;2020;R;1;1;19;3;89.8;30.7;DG;93.8;139;30.74;22.38;36.74;RM;RM;11;123;2018
441360;C_7952306;1;2020;F;0;0;19;3;86.2;30.3;DG;92.7;135;30.4;22.1;34.44666667;DG;DG;10;71;2018
441372;C_7BA2B71;1;2020;F;0;0;19;4;72;30.6;DG;88.3;131;30.93;21.59;38.89333333;LP;LP;8;97;2018
441383;C_7BA27A0;1;2020;F;0;1;20;3;85;29.8;DG;87.4;135;30.63;23.2;36.9;LP;LP;10;80;2018
441485;C_7BA2C4C;1;2020;F;0;1;19;4;77.4;30.7;JM;94.6;138;30.9;24.07;36.39333333;LP;LP;10;98;2018
441487;C_795223F;1;2020;R;1;1;19;4;79.5;30.41;JM;83.1;134;30.1;22.3;36.01;DG;DG;9;65;2018
441500;C_7C124AD;1;2020;F;0;0;19;3;89.7;30.34;JM;84.6;132;30.3;22.65;29.05;SD;SD;11;73;2018
441533;C_7BA2A21;1;2020;F;0;1;19;3;83.2;30.46;JM;85.6;134;30.4;20.99;33.04;SD;SD;10;66;2018
441546;C_7952214;1;2020;F;0;1;19;4;79.9;30.08;JM;88.4;137;29.99;22.62;36.51333333;SD;SD;11;66;2018
441560;C_7952405;1;2020;R;1;1;19;5;81.5;29.7;JM;86;137;29.4;22.25;37.28;RM;RM;9;73;2018
441590;C_7BA2B62;1;2020;R;1;1;21;4;86.8;29.81;SD;93.2;135;31.87;22.86;40.40666667;LP;LP;8;102;2018
441594;C_7AF718E;1;2020;R;1;1;21;4;86.4;29.78;SD;85.3;134;30.35;23.85;33.43333333;LP;LP;9;74;2018
441696;C_7BA2C5E;1;2020;R;1;1;61;4;79.9;30.45;SD;90.2;134;30.1;22.4;37.96333333;DG;DG;11;65;2018
441749;C_7BA26BF;1;2020;R;1;1;62;3;73.1;29;RM;83.8;131;28.9;23.2;38.68666667;DG;DG;11;48;2018
441752;C_7AF73A6;1;2020;R;1;1;63;4;80.2;29.6;RM;90.7;140;30.35;22.32;41.54333333;SD;SD;11;69;2018
441802;C_7BA2D0E;1;2020;R;1;1;18;4;74.6;30.02;LP;88.5;135;30.53;21.94;37.22666667;LP;LP;11;86;2018
441809;C_7BA2688;1;2020;F;0;1;18;4;83.8;31.15;LP;88.3;141;31.02;21.91;35.4;SD;SD;11;64;2018
441819;C_7BA26AB;1;2020;F;0;1;19;3;78.9;29.27;LP;94.7;139;30.03;21.87;29.33;LP;LP;10;94;2018
441821;C_795242D;1;2020;R;1;1;19;3;89.2;29.93;LP;88.2;135;30.4;21.43;36.47666667;DG;DG;9;140;2018
441841;C_7BA2795;1;2020;R;1;1;20;2;88.8;30.99;LP;86.8;136;30.67;24.13;38.41333333;DG;DG;12;72;2018
441866;C_795248C;1;2020;R;1;1;18;3;77;31.72;LP;83.4;133;31.99;22.41;34.52333333;DG;DG;10;110;2018
441902;C_7AF7517;1;2020;R;1;1;19;3;86.5;30.5;LP;90;131;30.6;22.92;32.29;DG;DG;8;71;2018
441923;C_7BA2802;1;2020;R;1;1;19;2;91.5;30.4;LP;88.1;138;30.19;23.36;36.72333333;DG;DG;11;62;2018
441948;C_7BA2CC6;1;2020;F;0;1;20;5;71.3;29;LP;77.5;136;29.4;22.24;37.69;LP;LP;12;69;2018
441955;C_7BA2B95;1;2020;F;0;1;20;3;60.7;30.48;LP;86.2;132;30.7;22.2;33.44333333;DG;DG;9;163;2018
441981;C_7BA272E;1;2020;R;1;1;21;2;85.9;30.09;SD;87.1;137;30.04;23.03;34.40666667;LP;LP;9;78;2018
441987;C_7AF7264;1;2020;R;1;1;23;2;72.4;30.03;JM;83.4;135;30.1;21.6;36.685;DG;DG;10;62;2018
442017;C_795241A;1;2020;R;1;1;62;3;72.8;30.22;JM;82.7;133;30.67;23.14;34.34666667;LP;LP;8;79;2018
442054;C_7AF738D;1;2020;F;0;1;64;4;84.7;31.18;SD;89.7;137.5;31.44;22.06;32.76666667;SD;SD;10;62;2018
442093;C_7BA278E;1;2020;R;1;1;66;3;73.7;29.3;RM;82.2;134;30.19;21.91;29.90333333;LP;LP;9;69;2018
442119;C_7952449;1;2020;F;0;1;20;3;80;29.7;DG;81.7;139;29.73;21.52;35.45666667;LP;LP;9;74;2018
442185;C_7952393;1;2020;R;1;1;43;4;81.9;30.81;SD;87.3;141;32;22.17;34.57666667;DG;DG;12;71;2018
442216;C_7AF71E7;1;2020;R;1;1;20;4;85.6;30.6;JM;87;138;29.27;23.72;38.73;SD;SD;9;69;2018
442217;C_7BA283B;1;2020;F;0;1;20;4;77.4;30.76;JM;80.7;132;30.27;20.58;34.10666667;DG;DG;10;114;2018
442242;C_7952239;1;2020;F;0;1;20;4;83.1;30.64;JM;86.9;135;30.63;23.76;32.43666667;LP;LP;10;79;2018
442245;C_7BA2691;1;2020;R;1;1;20;4;80.5;30.52;JM;94.4;135;30.09;22.54;34.51333333;DG;DG;10;62;2018
442258;C_7BA2B20;1;2020;F;0;1;31;5;72.8;28.08;LP;80.7;133;28.91;22.4;39.13333333;RM;RM;12;70;2018
442264;C_795252B;1;2020;F;0;1;33;4;77.6;30.7;SD;86.5;132;30.6;22.81;32.31333333;LP;LP;10;94;2018
442290;C_7AF752E;1;2020;F;0;1;33;3;90.6;32.11;JM;90.5;132;31.2;20.56;35;DG;DG;8;112;2018
